track_name,vocals_median_pitch_hz,accompaniment_median_pitch_hz
Nand_5,236.31,102.60499999999999
Nand_6,203.88,154.78
Nand_7,193.83,147.38
Nand_8,276.82,110.69
Nand_9,259.175,91.71
Narayani_1,327.31,84.53
Narayani_2,271.0,230.37
Narayani_3,195.74,138.43
Narayani_4,256.08,187.91
Narayani_5,334.97,72.76
Narayani_6,172.95,146.215
Narayani_7,204.64,232.75
Narayani_8,207.83,138.97
Nat Bhairav_1,181.94,138.98
Nat Bhairav_10,288.84,98.09
Nat Bhairav_2,203.87,98.65
Nat Bhairav_3,276.72,261.71
Nat Bhairav_4,184.3,72.85
Nat Bhairav_5,316.925,236.26
Nat Bhairav_6,174.6,111.25
Nat Bhairav_7,178.39,160.94
